text,user_name,user_created,user_followers,id_str,created,retweet_count,polarity,subjectivity
"enim nec tempus scelerisque, lorem ipsum sodales purus, in molestie tortor nibh sit amet orci. Ut",Zeph,"PDT03000000 PMpSat, 09 Jul 2016 15:49:22 -0700 23 13:38:19 +0000 2009",140,1687032754299,"PST02000000 AMpTue, 16 Jan 2018 02:49:46 -0800 23 13:38:19 +0000 2009",13,0.5153422317,0.4180879425
"ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis. Duis sit amet diam eu dolor egestas rhoncus. Proin nisl sem,",Georgia,"PDT07000000 AMpWed, 27 Jul 2016 07:51:32 -0700 23 13:38:19 +0000 2009",68,1603012689499,"PDT01000000 PMpTue, 04 Oct 2016 13:22:17 -0700 23 13:38:19 +0000 2009",157,0.4701730186,0.6096076581
Proin vel nisl. Quisque fringilla euismod enim. Etiam gravida molestie arcu. Sed eu nibh vulputate mauris,Meredith,"PDT09000000 AMpFri, 11 Aug 2017 09:12:21 -0700 23 13:38:19 +0000 2009",71,1691081379699,"PDT10000000 PMpMon, 11 Jun 2018 22:38:11 -0700 23 13:38:19 +0000 2009",116,0.5193783024,0.4745778597
"orci lacus vestibulum lorem, sit amet ultricies sem magna",Nyssa,"PDT11000000 AMpFri, 23 Jun 2017 11:40:21 -0700 23 13:38:19 +0000 2009",5,1626120768999,"PDT11000000 PMpSun, 18 Sep 2016 23:40:29 -0700 23 13:38:19 +0000 2009",144,0.5308439231,0.5318949103
"Nullam suscipit, est ac facilisis facilisis, magna tellus faucibus leo, in lobortis tellus justo sit amet nulla. Donec non justo. Proin non massa non ante bibendum ullamcorper. Duis cursus,",Clark,"PST12000000 PMpSat, 05 Mar 2016 12:20:35 -0800 23 13:38:19 +0000 2009",29,1668090816799,"PST09000000 AMpSun, 08 Jan 2017 09:43:45 -0800 23 13:38:19 +0000 2009",128,0.3809032914,0.5015616882
"non, luctus sit amet, faucibus ut, nulla. Cras eu tellus eu augue porttitor interdum. Sed auctor odio a",Rudyard,"PDT03000000 PMpWed, 20 Apr 2016 15:12:05 -0700 23 13:38:19 +0000 2009",96,1699091116599,"PDT04000000 PMpTue, 19 Jun 2018 16:14:43 -0700 23 13:38:19 +0000 2009",78,0.4794211513,0.4698204224
"bibendum sed, est. Nunc laoreet lectus quis massa. Mauris vestibulum, neque sed dictum eleifend, nunc risus varius orci, in consequat enim diam",Benedict,"PST05000000 PMpTue, 27 Dec 2016 17:03:58 -0800 23 13:38:19 +0000 2009",31,1676032772999,"PST02000000 PMpWed, 21 Feb 2018 14:31:41 -0800 23 13:38:19 +0000 2009",38,0.5345933247,0.5696619516
Nunc quis arcu vel quam dignissim pharetra. Nam ac nulla. In tincidunt congue turpis. In,Quin,"PST03000000 AMpThu, 19 Nov 2015 03:54:31 -0800 23 13:38:19 +0000 2009",208,1600040869399,"PDT03000000 PMpFri, 16 Mar 2018 15:38:52 -0700 23 13:38:19 +0000 2009",112,0.3722933791,0.5214450602
"aliquet diam. Sed diam lorem, auctor quis, tristique ac, eleifend vitae, erat. Vivamus nisi. Mauris nulla. Integer urna. Vivamus molestie dapibus ligula. Aliquam erat volutpat. Nulla",Hyatt,"PST11000000 AMpSun, 11 Feb 2018 11:13:22 -0800 23 13:38:19 +0000 2009",166,1607070809799,"PST12000000 PMpTue, 20 Feb 2018 12:03:46 -0800 23 13:38:19 +0000 2009",101,0.4544489721,0.5448303541
"et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse tristique neque venenatis lacus. Etiam bibendum fermentum metus. Aenean sed",Nina,"PDT11000000 AMpThu, 14 Jul 2016 11:42:20 -0700 23 13:38:19 +0000 2009",186,1641090360399,"PDT10000000 AMpSat, 28 Jul 2018 10:36:19 -0700 23 13:38:19 +0000 2009",27,0.4273335112,0.4784116058
consequat dolor vitae dolor. Donec fringilla. Donec feugiat metus sit amet ante. Vivamus non lorem vitae odio sagittis,Kylan,"PDT06000000 AMpMon, 07 May 2018 06:26:41 -0700 23 13:38:19 +0000 2009",201,1646060435799,"PDT02000000 AMpThu, 10 May 2018 02:26:25 -0700 23 13:38:19 +0000 2009",144,0.5449218278,0.4607696475
"cursus in, hendrerit consectetuer, cursus et, magna. Praesent interdum ligula eu enim. Etiam imperdiet dictum magna. Ut tincidunt orci quis lectus. Nullam suscipit, est ac facilisis facilisis,",Kyra,"PDT10000000 PMpSat, 15 Apr 2017 22:07:45 -0700 23 13:38:19 +0000 2009",108,1656020705999,"PDT04000000 AMpSat, 30 Jun 2018 04:23:13 -0700 23 13:38:19 +0000 2009",60,0.4258188259,0.4124302518
"lectus justo eu arcu. Morbi sit amet massa. Quisque porttitor eros nec tellus. Nunc lectus pede, ultrices a,",Zahir,"PST09000000 AMpSat, 30 Dec 2017 09:55:45 -0800 23 13:38:19 +0000 2009",225,1602013092799,"PST12000000 PMpMon, 15 Jan 2018 12:52:40 -0800 23 13:38:19 +0000 2009",153,0.3945312011,0.5666332173
"sodales at, velit. Pellentesque ultricies dignissim lacus. Aliquam rutrum lorem ac risus. Morbi metus. Vivamus euismod urna. Nullam lobortis quam a felis ullamcorper viverra.",Maya,"PST11000000 PMpThu, 03 Dec 2015 23:53:55 -0800 23 13:38:19 +0000 2009",250,1684021235699,"PST06000000 PMpFri, 22 Dec 2017 18:15:07 -0800 23 13:38:19 +0000 2009",96,0.4249130233,0.4192241982
"luctus et ultrices posuere cubilia Curae; Phasellus ornare. Fusce mollis. Duis sit amet diam eu dolor egestas rhoncus. Proin nisl sem, consequat nec, mollis vitae, posuere at,",Pamela,"PDT03000000 AMpThu, 27 Oct 2016 03:03:12 -0700 23 13:38:19 +0000 2009",141,1640102574899,"PDT09000000 PMpSun, 12 Aug 2018 21:45:22 -0700 23 13:38:19 +0000 2009",108,0.5407459626,0.4583375166
"ornare, lectus ante dictum mi, ac mattis velit justo nec ante. Maecenas mi felis, adipiscing fringilla, porttitor vulputate,",Simon,"PDT03000000 AMpSat, 29 Oct 2016 03:36:20 -0700 23 13:38:19 +0000 2009",286,1681052602599,"PDT04000000 AMpWed, 05 Jul 2017 04:35:55 -0700 23 13:38:19 +0000 2009",48,0.4940535231,0.4774172013
"elementum sem, vitae aliquam eros turpis non enim. Mauris quis turpis vitae purus gravida sagittis. Duis gravida. Praesent eu",Brent,"PST09000000 AMpWed, 18 Jan 2017 09:21:53 -0800 23 13:38:19 +0000 2009",186,1607060682299,"PDT11000000 AMpTue, 31 Oct 2017 11:23:16 -0700 23 13:38:19 +0000 2009",150,0.5265400948,0.4792007202
